,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,
,,,,,
,,,,,
,SABOR (%), Vol (Rmill) ,,FX (%) ,Vol (Rmill)
"17-Jan-08,Thu",10.642," R 67,330 ",,10.810," R 10,890 "
"18-Jan-08,Fri",10.649," R 65,373 ",,10.927," R 7,138 "
"21-Jan-08,Mon",10.649," R 66,513 ",,,
"22-Jan-08,Tue",10.652," R 69,108 ",,10.987," R 9,538 "
"23-Jan-08,Wed",10.652," R 70,862 ",,10.960," R 10,291 "
"24-Jan-08,Thu",10.635," R 64,908 ",,10.828," R 13,987 "
"25-Jan-08,Fri",10.635," R 62,400 ",,10.844," R 25,804 "
"28-Jan-08,Mon",10.632," R 65,399 ",,10.812," R 14,198 "
"29-Jan-08,Tue",10.636," R 71,791 ",,10.894," R 11,886 "
"30-Jan-08,Wed",10.647," R 67,909 ",,10.925," R 16,548 "
"31-Jan-08,Thu",10.639," R 64,562 ",,10.888," R 17,927 "
"01-Feb-08,Fri",10.637," R 75,013 ",,10.954," R 21,386 "
"04-Feb-08,Mon",10.646," R 67,657 ",,10.928," R 25,575 "
"05-Feb-08,Tue",10.649," R 66,843 ",,10.882," R 25,140 "
"06-Feb-08,Wed",10.644," R 67,687 ",,10.821," R 31,186 "
"07-Feb-08,Thu",10.648," R 65,282 ",,10.754," R 27,476 "
"08-Feb-08,Fri",10.654," R 66,266 ",,10.800," R 21,803 "
"11-Feb-08,Mon",10.659," R 65,249 ",,10.831," R 22,143 "
"12-Feb-08,Tue",10.653," R 70,537 ",,10.863," R 23,027 "
"13-Feb-08,Wed",10.663," R 64,679 ",,10.875," R 17,819 "
"14-Feb-08,Thu",10.669," R 67,456 ",,10.926," R 16,386 "
"15-Feb-08,Fri",10.675," R 62,787 ",,11.012," R 13,198 "
"18-Feb-08,Mon",10.677," R 63,701 ",,11.082," R 6,628 "
"19-Feb-08,Tue",10.678," R 65,703 ",,10.897," R 25,741 "
"20-Feb-08,Wed",10.672," R 64,387 ",,10.865," R 20,357 "
"21-Feb-08,Thu",10.674," R 65,092 ",,10.871," R 19,477 "
"22-Feb-08,Fri",10.669," R 65,147 ",,10.799," R 29,488 "
"25-Feb-08,Mon",10.667," R 68,995 ",,10.885," R 14,690 "
"26-Feb-08,Tue",10.677," R 70,198 ",,10.927," R 18,668 "
"27-Feb-08,Wed",10.673," R 71,818 ",,11.008," R 15,622 "
"28-Feb-08,Thu",10.651," R 72,794 ",,10.905," R 12,211 "
"29-Feb-08,Fri",10.671," R 67,718 ",,10.952," R 18,135 "
"03-Mar-08,Mon",10.667," R 75,555 ",,11.010," R 12,523 "
"04-Mar-08,Tue",10.667," R 77,226 ",,10.890," R 16,641 "
"05-Mar-08,Wed",10.682," R 70,578 ",,10.835," R 14,693 "
"06-Mar-08,Thu",10.688," R 75,493 ",,10.875," R 12,794 "
"07-Mar-08,Fri",10.693," R 81,511 ",,10.953," R 12,083 "
"10-Mar-08,Mon",10.705," R 80,049 ",,11.052," R 17,273 "
"11-Mar-08,Tue",10.687," R 72,544 ",,11.052," R 24,172 "
"12-Mar-08,Wed",10.735," R 79,650 ",,11.050," R 22,094 "
"13-Mar-08,Thu",10.709," R 78,486 ",,11.007," R 24,897 "
"14-Mar-08,Fri",10.692," R 82,177 ",,10.902," R 30,059 "
"17-Mar-08,Mon",10.646," R 74,250 ",,10.925," R 24,493 "
"18-Mar-08,Tue",10.674," R 78,413 ",,10.837," R 17,087 "
"19-Mar-08,Wed",10.681," R 74,656 ",,10.820," R 20,013 "
"20-Mar-08,Thu",10.690," R 74,755 ",,10.775," R 14,961 "
"21-Mar-08,Fri",10.690," R 74,756 ",,10.775," R 14,961 "
"24-Mar-08,Mon",10.690," R 74,757 ",,10.775," R 14,961 "
"25-Mar-08,Tue",10.698," R 75,735 ",,11.039," R 13,818 "
"26-Mar-08,Wed",10.699," R 72,716 ",,11.030," R 20,645 "
"27-Mar-08,Thu",10.706," R 73,914 ",,11.003," R 18,042 "
"28-Mar-08,Fri",10.705," R 73,788 ",,11.089," R 15,973 "
"31-Mar-08,Mon",10.674," R 80,624 ",,10.908," R 15,732 "
"01-Apr-08,Tue",10.694," R 77,538 ",,11.039," R 17,087 "
"02-Apr-08,Wed",10.716," R 85,374 ",,11.097," R 14,538 "
"03-Apr-08,Thu",10.720," R 82,045 ",,11.077," R 18,353 "
"04-Apr-08,Fri",10.720," R 84,028 ",,10.913," R 15,036 "
"07-Apr-08,Mon",10.711," R 83,019 ",,10.855," R 19,395 "
"08-Apr-08,Tue",10.722," R 79,029 ",,10.826," R 12,308 "
"09-Apr-08,Wed",10.711," R 83,718 ",,10.669," R 12,025 "
"10-Apr-08,Thu",10.705," R 82,496 ",,10.695," R 13,344 "
"11-Apr-08,Fri",11.109," R 83,390 ",,10.857," R 9,757 "
"14-Apr-08,Mon",11.167," R 82,794 ",,11.120," R 8,747 "
